,alpha,beta,emit,sig1,sig2,sig3,converge
scipy x 46,-5.487995636230639,215.206885549243,3.3564086571634104e-08,2.624933448967183,3.225813405717365,4.78050188040892,0.0
gekko x 46,,,,2.624933448967183,3.225813405717365,4.78050188040892,0.0
scipy x 47,-4.895328330572423,226.644914545044,3.7421467522866564e-08,2.7296107991022382,3.6484837767170184,4.783870533376832,0.0
gekko x 47,,,,2.7296107991022382,3.6484837767170184,4.783870533376832,0.0
scipy x 48,-0.5889780177012386,29.823490633356055,2.2569276904052276e-07,2.6194908995312747,2.987104076444112,4.927443927080053,1.0
gekko x 48,,,,2.6194908995312747,2.987104076444112,4.927443927080053,0.0
scipy x 49,-2.56270927065731,188.20511956273535,5.2516418456746224e-08,2.6706709167950495,3.879322710514229,4.411282984226517,0.0
gekko x 49,,,,2.6706709167950495,3.879322710514229,4.411282984226517,0.0
scipy x 50,-5.630184316701812,301.4336541217925,2.6504270029209025e-08,2.6080546841841104,3.4101497405629577,4.411739771753117,0.0
gekko x 50,,,,2.6080546841841104,3.4101497405629577,4.411739771753117,0.0
scipy x 51,-3.6671214480775443,180.14564308472293,5.033705395634479e-08,2.6667465362309883,3.7518552086967576,4.863552526625581,0.0
gekko x 51,,,,2.6667465362309883,3.7518552086967576,4.863552526625581,0.0
scipy x 52,-0.45144836538533994,30.79481333974388,2.4359570986350963e-07,2.7586115659196424,3.059742581437642,4.798994152841419,1.0
gekko x 52,,,,2.7586115659196424,3.059742581437642,4.798994152841419,0.0
scipy x 53,-0.44144413346368466,29.86973714319172,2.4554091223233223e-07,2.727863851599291,3.0310061839465297,4.800528970972185,1.0
gekko x 53,,,,2.727863851599291,3.0310061839465297,4.800528970972185,0.0
scipy x 54,-4.142619063934615,207.3204735086294,4.4199767893745485e-08,2.813724426776566,3.6549656416743286,4.86206804248931,0.0
gekko x 54,,,,2.813724426776566,3.6549656416743286,4.86206804248931,0.0
scipy x 55,-6.5969101896552065,296.50474235752296,2.3576982252466737e-08,2.62765005471899,3.076426053414322,4.438465987686911,0.0
gekko x 55,,,,2.62765005471899,3.076426053414322,4.438465987686911,0.0
scipy x 56,-2.6326494199874957,111.0759111536441,6.580015613545435e-08,2.7344555743074253,3.12939933592118,4.713435268951,1.0
gekko x 56,,,,2.7344555743074253,3.12939933592118,4.713435268951,0.0
scipy x 57,-4.163812395791062,291.76022156791345,3.380467891151408e-08,2.719371564122918,3.8435592372878036,4.459907773788376,0.0
gekko x 57,,,,2.719371564122918,3.8435592372878036,4.459907773788376,0.0
scipy x 58,-3.6807710750000093,193.1700658467991,4.9504906267289884e-08,2.7575509115448598,3.830769840110241,4.86261890280402,0.0
gekko x 58,,,,2.7575509115448598,3.830769840110241,4.86261890280402,0.0
scipy x 59,-4.312006656899851,209.07039559120176,3.981261185590124e-08,2.747246231493484,3.431827728622112,4.697225533583332,0.0
gekko x 59,,,,2.747246231493484,3.431827728622112,4.697225533583332,0.0
scipy x 60,-3.057939192137944,172.18912847546005,4.962400228994535e-08,2.6094243643939716,3.6906575462929427,4.470541730381086,0.0
gekko x 60,,,,2.6094243643939716,3.6906575462929427,4.470541730381086,0.0
scipy x 61,0.5,12.0,4.8e-07,2.712372882042667,3.201841882063217,4.642437539825707,0.0
gekko x 61,,,,2.712372882042667,3.201841882063217,4.642437539825707,0.0
scipy x 62,-4.7034537087423285,227.81228102146815,3.324538707368925e-08,2.678686001216408,3.226151699828461,4.48502451187306,0.0
gekko x 62,,,,2.678686001216408,3.226151699828461,4.48502451187306,0.0
scipy x 63,-4.306643597961906,206.51908956961006,4.0917368944957003e-08,2.7366661433817137,3.5007350563358006,4.748612233451448,0.0
gekko x 63,,,,2.7366661433817137,3.5007350563358006,4.748612233451448,0.0
scipy x 64,-9.272806759583998,408.3935299222232,1.9228998048187756e-08,2.725760144885746,3.401201472679598,4.711325631676648,0.0
gekko x 64,,,,2.725760144885746,3.401201472679598,4.711325631676648,0.0
scipy x 65,-3.4582569112879296,190.45376788650393,4.972243144319126e-08,2.7441314857474226,3.776106936365968,4.761935947208666,0.0
gekko x 65,,,,2.7441314857474226,3.776106936365968,4.761935947208666,0.0
scipy x 66,-0.221914632156153,25.390235601389353,3.0363668858653134e-07,2.7888034641303685,3.0232958122361104,4.842510884774056,1.0
gekko x 66,,,,2.7888034641303685,3.0232958122361104,4.842510884774056,0.0
scipy x 67,-6.278383624442427,302.8198676026625,2.486088809579895e-08,2.7519649076113186,3.1370223262095136,4.482740458403462,0.0
gekko x 67,,,,2.7519649076113186,3.1370223262095136,4.482740458403462,0.0
scipy x 68,-5.51460179656331,246.8159598240309,3.271304915526005e-08,2.7856720855721058,3.337759016554228,4.779444429638998,0.0
gekko x 68,,,,2.7856720855721058,3.337759016554228,4.779444429638998,0.0
scipy x 69,-5.404221549289549,287.28188329370323,2.803411152141396e-08,2.8021372402477986,3.2512203719831314,4.465297733812719,0.0
gekko x 69,,,,2.8021372402477986,3.2512203719831314,4.465297733812719,0.0
scipy x 70,-4.306564475306275,205.30634856368638,3.740936670091062e-08,2.6371727821721644,3.3145166051544823,4.538190150365637,0.0
gekko x 70,,,,2.6371727821721644,3.3145166051544823,4.538190150365637,0.0
scipy x 71,-4.371058252046314,207.72634386259222,4.06365199437713e-08,2.7700892962419137,3.455816341675524,4.7687299987654965,0.0
gekko x 71,,,,2.7700892962419137,3.455816341675524,4.7687299987654965,0.0
scipy x 72,-5.7599987205991665,305.32608891609954,3.0078371224256826e-08,2.6327230553847643,3.7923742057075565,4.7305643613314565,0.0
gekko x 72,,,,2.6327230553847643,3.7923742057075565,4.7305643613314565,0.0
scipy x 73,-0.5410283293336728,35.55737126338749,2.1361070880854837e-07,2.7764882631317933,3.074665394054005,4.672937244585366,1.0
gekko x 73,,,,2.7764882631317933,3.074665394054005,4.672937244585366,0.0
scipy x 74,-3.8808326774031214,236.37284341161507,4.188403738614271e-08,2.7618075268170776,3.8793275255855426,4.672631587610866,0.0
gekko x 74,,,,2.7618075268170776,3.8793275255855426,4.672631587610866,0.0
scipy x 75,-3.1930180682634943,197.71366162243203,4.298355594105661e-08,2.7012942047848028,3.4493226866292646,4.345348447376529,0.0
gekko x 75,,,,2.7012942047848028,3.4493226866292646,4.345348447376529,0.0
scipy x 76,-5.445895296160586,328.9736048228882,2.546205366571977e-08,2.7341469487644416,3.383833911440158,4.3402800662411245,0.0
gekko x 76,,,,2.7341469487644416,3.383833911440158,4.3402800662411245,0.0
scipy x 77,-3.8904646295987693,227.49428263105256,3.550101506572186e-08,2.7349651651958684,3.2909148086589357,4.322707421222428,0.0
gekko x 77,,,,2.7349651651958684,3.2909148086589357,4.322707421222428,0.0
scipy x 78,-0.6151933363115414,33.99612010837348,2.0180613658677026e-07,2.6424351088833355,2.9748595249436236,4.691552833288361,1.0
gekko x 78,,,,2.6424351088833355,2.9748595249436236,4.691552833288361,0.0
scipy x 79,-1.0922181634592796,44.69765609135929,1.5034662325828234e-07,2.6230689254457054,3.033447587839975,4.8540934713244255,1.0
gekko x 79,,,,2.6230689254457054,3.033447587839975,4.8540934713244255,0.0
