,alpha,beta,emit,sig1,sig2,sig3,converge
scipy y 1,-8.532334435948647,112.50296198008388,8.144904230465849e-08,3.0550604215712043,4.5948463412967,10.049043416357769,0.0
gekko y 1,-8.532334435948647,112.50296198008388,8.144904230465849e-08,3.0550604215712043,4.5948463412967,10.049043416357769,0.0
scipy y 1,-8.655000806236078,117.13960652170312,8.063767362975522e-08,3.1661791459437865,4.579976813454261,10.020454912097549,0.0
gekko y 1,-8.655000806236078,117.13960652170312,8.063767362975522e-08,3.1661791459437865,4.579976813454261,10.020454912097549,0.0
scipy y 1,-8.28105523909947,117.19836088000808,8.566103509280017e-08,3.160830568744584,4.717653417280009,10.01559643887559,0.0
gekko y 1,-8.28105523909947,117.19836088000808,8.566103509280017e-08,3.160830568744584,4.717653417280009,10.01559643887559,0.0
scipy y 1,-6.234772654768924,96.4981927504528,1.099160836887986e-07,3.0960670704786657,4.7850076146514136,9.710872221345925,0.0
gekko y 1,-6.234772654768924,96.4981927504528,1.099160836887986e-07,3.0960670704786657,4.7850076146514136,9.710872221345925,0.0
scipy y 1,-13.042410011333743,162.19055764086997,5.5855316431389924e-08,3.1214104152907947,4.607316837680867,10.395771524373668,0.0
gekko y 1,-13.042410011333743,162.19055764086997,5.5855316431389924e-08,3.1214104152907947,4.607316837680867,10.395771524373668,0.0
scipy y 1,-8.05665642938725,121.35784675063348,8.506172292211955e-08,3.0466693726844385,4.798835660398392,9.72927284459991,0.0
gekko y 1,-8.05665642938725,121.35784675063348,8.506172292211955e-08,3.0466693726844385,4.798835660398392,9.72927284459991,0.0
scipy y 1,-10.135818431867689,137.0710719013042,6.854082379846765e-08,3.104592957927817,4.602322720962925,9.988115238136324,0.0
gekko y 1,-10.135818431867689,137.0710719013042,6.854082379846765e-08,3.104592957927817,4.602322720962925,9.988115238136324,0.0
scipy y 1,-8.675852933743977,114.499985426081,8.44141548083209e-08,3.131930189890503,4.712736098412496,10.313139916805794,0.0
gekko y 1,-8.675852933743977,114.499985426081,8.44141548083209e-08,3.131930189890503,4.712736098412496,10.313139916805794,0.0
scipy y 1,-7.531901655738901,104.37862151442546,9.97894449952869e-08,3.153404361632996,4.88946175587473,10.355446071742392,0.0
gekko y 1,-7.531901655738901,104.37862151442546,9.97894449952869e-08,3.153404361632996,4.88946175587473,10.355446071742392,0.0
scipy y 1,-6.950403331342291,98.84767406624847,9.701671132850645e-08,3.023036025574887,4.639359222904782,9.767684773829878,0.0
gekko y 1,-6.950403331342291,98.84767406624847,9.701671132850645e-08,3.023036025574887,4.639359222904782,9.767684773829878,0.0
scipy y 1,-4.999826870221295,63.15872003516218,1.446340965006896e-07,3.1380490862756267,4.608242128570064,10.411142056472556,1.0
gekko y 1,-4.999826870221295,63.15872003516218,1.446340965006896e-07,3.1380490862756267,4.608242128570064,10.411142056472556,1.0
scipy y 1,-8.068011989644466,112.38027714928884,8.588121470295315e-08,3.070733112454188,4.669613229636373,9.929707213665308,0.0
gekko y 1,-8.068011989644466,112.38027714928884,8.588121470295315e-08,3.070733112454188,4.669613229636373,9.929707213665308,0.0
scipy y 1,-8.334263602333818,105.80681622233328,8.796555736398864e-08,3.06298344903485,4.697124735413099,10.402240722783104,0.0
gekko y 1,-8.334263602333818,105.80681622233328,8.796555736398864e-08,3.06298344903485,4.697124735413099,10.402240722783104,0.0
scipy y 1,-7.873333544617577,104.31673008379586,9.08649396648845e-08,3.072286019535995,4.681113934525981,10.191307320546354,0.0
gekko y 1,-7.873333544617577,104.31673008379586,9.08649396648845e-08,3.072286019535995,4.681113934525981,10.191307320546354,0.0
scipy y 1,-7.5144732019306435,116.53512879304662,9.1960554378156e-08,3.025724316329514,4.8790911361259175,9.725431472851946,0.0
gekko y 1,-7.5144732019306435,116.53512879304662,9.1960554378156e-08,3.025724316329514,4.8790911361259175,9.725431472851946,0.0
file2 x scipy,-5.144948591605247,238.8188425858661,2.9703325333840188e-08,,,,
file2 x gekko,,,,,,,
file2 y scipy,-9.762549953679477,138.0742413794843,7.276947519363416e-08,,,,
file2 y gekko,,,,,,,
file2 x scipy,-5.144948591605247,238.8188425858661,2.9703325333840188e-08,,,,
file2 x gekko,,,,,,,
file2 y scipy,-9.762549953679477,138.0742413794843,7.276947519363416e-08,,,,
file2 y gekko,,,,,,,
file1 x scipy,0.6848489433709981,6.473898456386279,5.690546782804684e-07,,,,
file1 x gekko,0.68475005969,6.4732665026,5.6909490987e-07,,,,
